CheckInDate,CheckOutDate,State,City,RoomType,BookingChannel,OccupancyRate,RevenuePerBed,CustomerAcquisitionCost,FeedbackRating
2025-01-09,2025-01-13,Kerala,Kochi,Dorm,Website,0.41,809.93,195.67,1
2025-04-08,2025-04-11,Uttarakhand,Dehradun,Private,Walk-in,0.68,737.03,202.24,1
2025-01-24,2025-01-28,Kerala,Kochi,Private,Walk-in,0.79,513.82,236.44,3
2025-01-11,2025-01-12,Himachal Pradesh,Shimla,Dorm,Website,0.74,570.43,235.93,3
2024-11-08,2024-11-12,Goa,Vasco,Suite,OTA,0.61,1038.92,178.82,2
2024-12-03,2024-12-05,Rajasthan,Jaipur,Dorm,Website,0.67,524.54,164.11,3
2024-11-28,2024-11-29,Maharashtra,Nashik,Dorm,OTA,0.63,739.91,161.53,4
2024-10-28,2024-10-29,Maharashtra,Pune,Private,Website,0.61,446.62,193.06,2
2024-12-20,2024-12-21,Kerala,Kochi,Private,Website,0.83,882.63,200.29,1
2024-10-20,2024-10-24,Himachal Pradesh,Shimla,Private,OTA,0.75,526.8,166.67,5
2025-02-07,2025-02-10,Uttarakhand,Dehradun,Suite,Website,0.6,733.56,134.07,3
2025-01-31,2025-02-02,Himachal Pradesh,Manali,Suite,Website,0.83,1109.72,251.36,5
2024-11-29,2024-12-02,Tamil Nadu,Ooty,Private,OTA,0.75,649.45,58.83,5
2025-02-07,2025-02-12,Tamil Nadu,Ooty,Private,Website,0.82,1056.57,269.12,2
2024-11-27,2024-11-28,Karnataka,Mysore,Dorm,OTA,0.79,501.0,267.86,4
2024-10-17,2024-10-18,Maharashtra,Pune,Suite,Walk-in,0.58,822.28,205.16,4
2024-10-29,2024-10-30,Himachal Pradesh,Shimla,Dorm,Website,0.62,1193.11,135.67,5
2025-03-02,2025-03-06,Karnataka,Bangalore,Private,Walk-in,0.81,,128.35,1
2025-02-15,2025-02-16,Karnataka,Mysore,Dorm,Walk-in,0.79,690.34,157.35,4
2024-10-27,2024-10-30,Uttarakhand,Rishikesh,Suite,Website,0.7,316.12,51.03,2
2024-11-29,2024-11-30,Himachal Pradesh,Manali,Dorm,OTA,0.72,1153.62,163.98,5
2024-10-29,2024-11-01,Uttarakhand,Dehradun,Dorm,Website,0.89,,279.55,4
2025-04-09,2025-04-14,Rajasthan,Jaisalmer,Dorm,Website,0.61,629.93,212.64,1
2024-10-22,2024-10-23,Rajasthan,Jaisalmer,Suite,Website,0.78,343.41,78.95,4
2025-03-31,2025-04-04,Rajasthan,Udaipur,Suite,Website,0.67,896.23,117.49,5
2024-12-19,2024-12-20,Maharashtra,Pune,Dorm,OTA,0.67,478.78,99.94,3
2024-10-29,2024-11-03,Karnataka,Bangalore,Private,Website,0.86,,170.17,2
2025-01-23,2025-01-24,Tamil Nadu,Chennai,Suite,Website,0.82,951.21,75.32,3
2024-12-01,2024-12-03,Rajasthan,Jaipur,Dorm,OTA,0.82,624.19,219.19,4
2024-12-09,2024-12-12,Karnataka,Bangalore,Private,OTA,0.9,1159.58,117.08,1
2025-02-22,2025-02-26,Tamil Nadu,Ooty,Suite,OTA,0.7,1019.91,212.21,2
2025-01-18,2025-01-22,Karnataka,Bangalore,Suite,OTA,0.8,1022.04,219.6,2
2024-11-26,2024-11-30,Karnataka,Mysore,Dorm,OTA,0.65,,65.83,3
2025-01-28,2025-02-02,Goa,Vasco,Suite,Walk-in,0.75,930.52,73.81,2
2024-11-10,2024-11-12,Rajasthan,Jaipur,Suite,OTA,0.68,1066.68,267.35,1
2025-03-05,2025-03-09,Goa,Vasco,Dorm,Website,0.71,713.19,250.32,4
2025-04-15,2025-04-19,Rajasthan,Jaipur,Private,Website,0.79,801.42,50.04,1
2025-04-05,2025-04-08,Goa,Vasco,Private,Website,0.58,1034.93,261.08,3
2025-02-03,2025-02-04,Tamil Nadu,Chennai,Suite,Website,1.0,301.98,138.78,3
2025-02-04,2025-02-08,Tamil Nadu,Chennai,Dorm,OTA,0.55,849.77,96.89,4
2025-01-15,2025-01-20,Kerala,Kochi,Dorm,OTA,0.52,711.65,197.33,5
2024-12-02,2024-12-07,Kerala,Munnar,Dorm,Walk-in,0.87,820.7,232.62,2
2025-03-17,2025-03-22,Kerala,Munnar,Suite,Website,0.82,546.24,290.9,3
2025-01-15,2025-01-20,Himachal Pradesh,Shimla,Suite,Website,0.79,480.8,206.04,3
2025-03-21,2025-03-22,Karnataka,Mysore,Private,Walk-in,0.79,732.33,192.66,4
2025-01-03,2025-01-08,Kerala,Kochi,Dorm,Website,0.7,642.78,63.27,1
2024-11-21,2024-11-22,Himachal Pradesh,Manali,Suite,OTA,0.57,483.6,185.29,3
2024-11-03,2024-11-05,Goa,Vasco,Suite,Walk-in,0.71,558.87,216.12,4
2024-11-03,2024-11-06,Rajasthan,Jaipur,Dorm,Walk-in,0.6,1081.96,265.11,4
2025-02-20,2025-02-23,Goa,Panaji,Private,Website,0.85,1185.11,68.62,2
2025-01-07,2025-01-09,Himachal Pradesh,Manali,Suite,OTA,0.68,305.08,166.58,2
2024-12-23,2024-12-28,Himachal Pradesh,Shimla,Suite,OTA,0.58,365.59,226.92,5
2025-01-06,2025-01-07,Kerala,Munnar,Private,Website,0.65,1095.06,215.83,3
2025-01-03,2025-01-06,Rajasthan,Jaipur,Private,Website,0.76,1114.05,203.43,5
2025-01-14,2025-01-17,Maharashtra,Pune,Suite,Walk-in,0.62,554.55,277.83,3
2025-04-01,2025-04-06,Goa,Vasco,Dorm,Website,0.58,450.66,289.07,5
2025-03-06,2025-03-07,Goa,Vasco,Dorm,Walk-in,0.74,1045.87,269.66,4
2024-10-26,2024-10-27,Tamil Nadu,Ooty,Dorm,Website,0.74,348.84,248.55,5
2025-02-23,2025-02-27,Tamil Nadu,Ooty,Private,Website,0.62,650.55,79.58,1
2025-02-19,2025-02-24,Maharashtra,Pune,Dorm,OTA,0.63,1008.2,125.34,1
2025-02-18,2025-02-20,Rajasthan,Udaipur,Suite,Website,0.73,422.74,147.75,5
2024-11-04,2024-11-09,Uttarakhand,Rishikesh,Suite,Website,0.48,410.91,51.26,5
2024-10-27,2024-10-31,Uttarakhand,Rishikesh,Suite,Walk-in,0.49,428.21,96.0,5
2025-01-02,2025-01-06,Rajasthan,Jaisalmer,Suite,Walk-in,0.59,365.83,217.92,3
2025-03-06,2025-03-07,Karnataka,Bangalore,Private,Walk-in,0.67,362.83,98.37,4
2024-12-20,2024-12-24,Uttarakhand,Dehradun,Dorm,Website,0.75,581.89,246.42,4
2025-03-20,2025-03-24,Tamil Nadu,Ooty,Private,OTA,0.92,738.27,77.21,5
2025-04-01,2025-04-02,Goa,Vasco,Suite,Website,0.83,1102.89,262.4,1
2024-11-06,2024-11-09,Rajasthan,Jaisalmer,Suite,Walk-in,0.68,724.89,243.8,3
2024-12-03,2024-12-08,Karnataka,Mysore,Suite,Website,0.7,657.11,175.54,2
2024-11-22,2024-11-24,Karnataka,Mysore,Dorm,Walk-in,0.55,1153.84,214.85,2
2024-11-21,2024-11-22,Tamil Nadu,Chennai,Private,OTA,0.7,510.62,217.15,5
2025-01-28,2025-01-31,Rajasthan,Jaipur,Dorm,Walk-in,0.66,1171.6,208.39,3
2025-01-11,2025-01-16,Kerala,Munnar,Suite,Website,0.75,765.0,144.08,2
2024-11-12,2024-11-17,Tamil Nadu,Chennai,Dorm,OTA,0.58,449.05,69.27,3
2025-01-05,2025-01-07,Maharashtra,Nashik,Private,OTA,0.78,948.23,170.38,4
2024-11-20,2024-11-22,Goa,Panaji,Suite,Walk-in,0.93,445.02,207.39,1
2024-12-09,2024-12-12,Kerala,Kochi,Dorm,Website,0.68,704.28,298.19,4
2025-01-13,2025-01-15,Karnataka,Mysore,Suite,Walk-in,0.76,608.4,163.37,5
2024-12-03,2024-12-08,Kerala,Kochi,Dorm,Website,0.8,728.28,203.69,1
2025-04-03,2025-04-07,Karnataka,Bangalore,Suite,OTA,0.64,633.34,60.86,5
2025-04-13,2025-04-17,Uttarakhand,Rishikesh,Dorm,OTA,0.73,729.43,108.13,1
2024-10-30,2024-11-04,Rajasthan,Jaisalmer,Dorm,Walk-in,0.7,306.47,213.64,3
2025-01-10,2025-01-15,Himachal Pradesh,Shimla,Private,Walk-in,0.71,548.0,220.15,2
2025-03-21,2025-03-24,Tamil Nadu,Ooty,Suite,OTA,0.58,996.78,149.53,2
2025-04-01,2025-04-03,Karnataka,Bangalore,Suite,OTA,0.7,1007.47,250.21,5
2025-03-31,2025-04-02,Rajasthan,Jaipur,Private,Walk-in,0.77,691.84,66.02,2
2025-01-30,2025-02-04,Kerala,Munnar,Dorm,Website,0.92,876.26,159.74,2
2024-11-04,2024-11-05,Goa,Panaji,Private,Website,0.84,889.52,293.91,1
2024-10-25,2024-10-26,Goa,Panaji,Dorm,Walk-in,1.0,556.04,257.44,5
2025-02-19,2025-02-23,Goa,Vasco,Suite,Website,0.58,535.0,151.78,1
2025-01-28,2025-02-01,Himachal Pradesh,Shimla,Private,Walk-in,0.83,735.27,110.82,3
2025-03-27,2025-03-28,Rajasthan,Udaipur,Private,Website,0.73,644.41,247.16,2
2024-10-18,2024-10-21,Rajasthan,Jaisalmer,Dorm,OTA,1.0,383.71,218.42,3
2024-11-03,2024-11-05,Himachal Pradesh,Manali,Private,Walk-in,0.58,479.7,233.86,3
2025-04-13,2025-04-14,Karnataka,Bangalore,Dorm,Walk-in,0.57,1160.2,173.17,1
2025-03-11,2025-03-16,Uttarakhand,Dehradun,Private,OTA,0.61,464.58,241.07,5
2025-03-29,2025-04-03,Kerala,Munnar,Dorm,Walk-in,0.38,612.56,265.1,2
2024-11-30,2024-12-02,Rajasthan,Jaipur,Private,Walk-in,0.62,390.67,140.4,3
2024-11-17,2024-11-19,Uttarakhand,Dehradun,Private,OTA,0.59,489.48,225.18,3
2025-01-02,2025-01-05,Goa,Panaji,Dorm,Walk-in,0.72,689.0,,2
2025-01-18,2025-01-20,Kerala,Munnar,Suite,Walk-in,0.75,780.58,128.93,4
2025-01-17,2025-01-19,Karnataka,Bangalore,Private,OTA,0.98,1055.07,74.08,3
2024-11-26,2024-11-30,Uttarakhand,Rishikesh,Dorm,OTA,0.84,1080.63,290.78,2
2025-04-01,2025-04-04,Himachal Pradesh,Shimla,Suite,Walk-in,0.61,738.74,234.13,1
2025-01-01,2025-01-05,Karnataka,Mysore,Suite,Walk-in,0.57,814.47,262.23,1
2025-04-09,2025-04-12,Himachal Pradesh,Shimla,Private,OTA,0.77,973.11,180.23,4
2024-10-27,2024-10-29,Himachal Pradesh,Manali,Dorm,OTA,0.5,392.71,65.95,4
2024-11-16,2024-11-19,Maharashtra,Mumbai,Suite,Website,0.97,375.88,282.9,4
2024-12-28,2024-12-29,Karnataka,Bangalore,Dorm,Walk-in,0.88,621.16,278.82,4
2024-10-16,2024-10-21,Karnataka,Bangalore,Suite,OTA,0.63,867.94,208.96,5
2024-12-30,2024-12-31,Tamil Nadu,Chennai,Private,OTA,0.44,,114.95,3
2024-12-06,2024-12-11,Himachal Pradesh,Shimla,Dorm,Walk-in,0.9,1129.88,286.74,4
2025-04-13,2025-04-16,Rajasthan,Jaisalmer,Dorm,OTA,0.68,1093.95,159.28,2
2025-03-17,2025-03-21,Himachal Pradesh,Manali,Suite,Website,0.89,764.95,249.99,5
2025-03-17,2025-03-19,Himachal Pradesh,Shimla,Dorm,Website,0.46,422.96,77.59,4
2025-01-12,2025-01-13,Rajasthan,Jaipur,Suite,,0.61,467.34,75.57,3
2024-12-10,2024-12-12,Rajasthan,Udaipur,Private,OTA,0.7,580.42,249.87,3
2025-01-06,2025-01-09,Karnataka,Bangalore,Private,Website,0.71,788.87,95.4,3
2025-02-28,2025-03-04,Goa,Vasco,Dorm,Walk-in,0.63,1195.08,99.79,1
2025-03-06,2025-03-08,Himachal Pradesh,Shimla,Suite,Walk-in,0.79,337.97,284.36,5
2025-03-17,2025-03-19,Rajasthan,Jaisalmer,Dorm,Website,0.54,869.62,131.13,2
2025-01-31,2025-02-04,Rajasthan,Jaisalmer,Suite,Walk-in,0.68,439.49,242.7,2
2025-02-21,2025-02-24,Rajasthan,Jaipur,Suite,Website,0.72,931.2,247.87,2
2025-03-04,2025-03-06,Uttarakhand,Dehradun,Dorm,Walk-in,0.78,639.99,231.1,3
2025-01-18,2025-01-23,Tamil Nadu,Chennai,Dorm,Walk-in,0.81,612.9,233.1,3
2024-11-15,2024-11-18,Karnataka,Mysore,Private,Walk-in,0.53,630.4,50.18,5
2024-11-21,2024-11-22,Goa,Vasco,Suite,Walk-in,0.47,1037.14,97.47,4
2024-12-12,2024-12-13,Uttarakhand,Rishikesh,Suite,Walk-in,0.89,360.01,258.8,2
2024-11-27,2024-12-01,Rajasthan,Jaisalmer,Suite,OTA,0.75,773.24,225.33,3
2024-10-27,2024-10-28,Goa,Vasco,Private,Walk-in,0.59,354.63,189.5,4
2025-02-05,2025-02-06,Rajasthan,Jaisalmer,Private,Website,0.93,1150.14,290.15,1
2025-03-07,2025-03-12,Goa,Panaji,Suite,Walk-in,0.72,673.67,76.38,5
2025-01-29,2025-02-03,Karnataka,Bangalore,Private,Walk-in,0.88,603.76,89.54,5
2024-10-27,2024-10-31,Uttarakhand,Dehradun,Suite,OTA,0.71,1043.54,130.86,2
2025-03-10,2025-03-14,Himachal Pradesh,Shimla,Private,OTA,1.0,300.18,58.67,3
2024-12-15,2024-12-17,Himachal Pradesh,Manali,Private,Website,0.96,994.37,285.84,3
2024-10-27,2024-10-31,Maharashtra,Mumbai,Private,Website,0.66,424.57,141.77,5
2024-10-25,2024-10-28,Goa,Panaji,Private,Website,0.85,739.45,274.76,5
2025-02-06,2025-02-07,Kerala,Kochi,Private,OTA,0.8,1091.81,158.58,1
2025-01-16,2025-01-20,Rajasthan,Jaisalmer,Dorm,OTA,0.91,771.95,129.83,5
2025-01-21,2025-01-26,Kerala,Munnar,Suite,Walk-in,0.56,381.07,157.98,4
2025-04-12,2025-04-13,Kerala,Munnar,Private,Walk-in,0.8,691.04,224.47,2
2025-03-30,2025-03-31,Goa,Panaji,Private,OTA,0.86,591.07,281.03,1
2025-01-27,2025-01-30,Uttarakhand,Rishikesh,Dorm,OTA,0.44,854.6,297.54,4
2024-11-15,2024-11-16,Uttarakhand,Rishikesh,Dorm,Walk-in,0.52,349.08,287.24,2
2024-10-27,2024-10-31,Maharashtra,Pune,Private,Website,0.39,598.69,235.0,2
2025-01-22,2025-01-26,Karnataka,Bangalore,Suite,Walk-in,0.66,774.12,113.86,1
2024-10-31,2024-11-04,Rajasthan,Jaipur,Suite,OTA,,896.68,278.22,3
2025-03-30,2025-04-04,Goa,Vasco,Suite,Website,0.93,1113.48,171.17,5
2024-11-21,2024-11-23,Rajasthan,Jaipur,Suite,OTA,0.71,,148.35,2
2024-10-29,2024-11-01,Himachal Pradesh,Manali,Private,Website,0.94,1149.72,287.28,2
2025-02-08,2025-02-12,Kerala,Kochi,Dorm,Walk-in,0.49,437.47,292.63,5
2024-10-29,2024-11-01,Goa,Panaji,Suite,Walk-in,0.44,1108.78,277.39,4
2025-02-24,2025-02-25,Karnataka,Mysore,Suite,Walk-in,0.69,1153.74,79.6,3
2025-04-01,2025-04-04,Kerala,Munnar,Private,Walk-in,0.76,1140.39,273.53,3
2024-11-30,2024-12-05,Himachal Pradesh,Manali,Dorm,Website,0.7,918.64,139.82,4
2025-01-02,2025-01-06,Karnataka,Mysore,Private,Website,,447.41,106.57,4
2024-11-08,2024-11-09,Goa,Panaji,Dorm,OTA,0.69,1080.42,172.49,3
2025-04-16,2025-04-20,Kerala,Munnar,Suite,Walk-in,0.5,814.74,184.04,1
2025-04-06,2025-04-07,Goa,Vasco,Suite,OTA,0.8,764.51,207.66,1
2025-02-03,2025-02-05,Himachal Pradesh,Shimla,Private,OTA,0.75,851.82,63.64,5
2024-12-02,2024-12-07,Maharashtra,Mumbai,Suite,Walk-in,0.56,,153.39,4
2025-02-05,2025-02-08,Tamil Nadu,Chennai,Private,Walk-in,0.62,883.72,227.87,2
2025-02-08,2025-02-13,Uttarakhand,Rishikesh,Suite,OTA,0.54,954.19,293.8,5
2024-10-23,2024-10-25,Uttarakhand,Rishikesh,Dorm,Website,0.69,992.24,62.83,3
2025-02-13,2025-02-15,Maharashtra,Mumbai,Dorm,,0.84,988.86,53.05,4
2024-10-31,2024-11-05,Goa,Panaji,Suite,OTA,0.55,708.36,160.47,5
2025-01-05,2025-01-07,Goa,Panaji,Dorm,Website,0.78,887.95,59.18,1
2025-02-20,2025-02-24,Rajasthan,Jaipur,Dorm,Website,0.62,904.88,202.77,5
2025-02-06,2025-02-07,Uttarakhand,Rishikesh,Private,OTA,0.58,631.71,144.73,1
2025-02-02,2025-02-05,Maharashtra,Nashik,Private,Walk-in,0.68,672.38,102.46,2
2025-01-25,2025-01-30,Maharashtra,Pune,Suite,OTA,0.54,684.35,261.95,3
2024-12-16,2024-12-20,Tamil Nadu,Ooty,Dorm,Walk-in,0.62,,122.62,2
2025-04-15,2025-04-19,Goa,Vasco,Dorm,OTA,0.52,,251.51,2
2024-12-05,2024-12-10,Himachal Pradesh,Shimla,Suite,OTA,0.99,990.33,78.46,3
2024-11-24,2024-11-27,Karnataka,Bangalore,Private,Walk-in,0.71,731.2,168.63,1
2025-02-23,2025-02-27,Uttarakhand,Dehradun,Suite,Website,,1051.6,124.84,3
2025-03-04,2025-03-06,Uttarakhand,Rishikesh,Private,Website,0.73,605.24,143.81,5
2024-12-16,2024-12-17,Himachal Pradesh,Shimla,Private,OTA,0.68,378.12,269.26,3
2024-12-01,2024-12-02,Maharashtra,Pune,Dorm,Website,0.67,699.4,56.23,4
2024-12-06,2024-12-08,Himachal Pradesh,Shimla,Dorm,Walk-in,0.79,909.05,,1
2024-12-31,2025-01-05,Rajasthan,Jaisalmer,Dorm,OTA,0.81,720.19,61.53,5
2024-11-10,2024-11-12,Goa,Vasco,Dorm,OTA,0.62,548.98,129.79,4
2025-02-23,2025-02-28,Maharashtra,Mumbai,Private,Walk-in,0.61,586.64,85.39,3
2025-02-18,2025-02-20,Tamil Nadu,Chennai,Dorm,OTA,0.66,1112.96,62.61,4
2024-12-13,2024-12-16,Tamil Nadu,Ooty,Private,Website,0.35,941.61,217.72,5
2025-01-12,2025-01-16,Maharashtra,Nashik,Dorm,OTA,0.47,579.35,211.1,4
2024-12-16,2024-12-20,Himachal Pradesh,Shimla,Dorm,Walk-in,0.91,1125.54,132.58,3
2025-04-14,2025-04-17,Tamil Nadu,Chennai,Private,Walk-in,0.95,817.21,176.99,4
2025-03-10,2025-03-14,Himachal Pradesh,Shimla,Suite,OTA,0.66,514.72,110.92,2
2025-04-15,2025-04-20,Kerala,Munnar,Private,Walk-in,0.79,924.72,93.27,1
2024-10-30,2024-11-04,Tamil Nadu,Ooty,Dorm,OTA,0.75,458.56,288.97,1
2024-10-17,2024-10-18,Uttarakhand,Dehradun,Dorm,Website,1.0,1035.33,271.82,1
2025-01-12,2025-01-14,Tamil Nadu,Chennai,Suite,OTA,0.87,569.76,248.59,3
2025-02-13,2025-02-14,Maharashtra,Nashik,Suite,Walk-in,0.68,663.78,,3
2025-02-02,2025-02-05,Uttarakhand,Rishikesh,Dorm,Website,0.56,688.54,197.54,3
2024-11-04,2024-11-06,Karnataka,Mysore,Dorm,Walk-in,0.46,646.14,281.12,4
2024-10-30,2024-10-31,Maharashtra,Nashik,Dorm,Walk-in,0.73,1096.4,214.48,2
2025-01-28,2025-02-01,Kerala,Kochi,Suite,,0.59,796.85,162.51,3
2024-11-26,2024-11-30,Goa,Vasco,Suite,Walk-in,0.49,630.27,294.56,5
2025-01-22,2025-01-27,Maharashtra,Mumbai,Private,OTA,0.6,765.25,180.84,5
2024-12-06,2024-12-11,Maharashtra,Nashik,Suite,OTA,0.54,851.74,275.9,5
2024-11-10,2024-11-13,Uttarakhand,Dehradun,Private,OTA,0.95,450.76,223.76,5
2025-04-15,2025-04-20,Tamil Nadu,Chennai,Dorm,Walk-in,0.83,,252.22,5
2024-12-22,2024-12-24,Himachal Pradesh,Shimla,Suite,OTA,0.7,547.7,114.24,1
2025-04-05,2025-04-08,Uttarakhand,Rishikesh,Suite,Website,0.92,736.43,249.84,1
2024-10-29,2024-11-02,Karnataka,Mysore,Private,Website,0.71,894.6,231.5,2
2025-04-04,2025-04-06,Maharashtra,Mumbai,Private,OTA,0.57,728.61,169.07,5
2024-12-02,2024-12-05,Kerala,Kochi,Private,OTA,0.93,910.64,290.44,1
2024-12-26,2024-12-29,Himachal Pradesh,Shimla,Private,Website,0.78,529.81,196.04,4
2024-12-10,2024-12-12,Goa,Vasco,Private,Walk-in,0.54,,52.12,1
2024-11-15,2024-11-18,Goa,Vasco,Dorm,Website,0.67,321.33,72.99,5
2025-01-09,2025-01-14,Maharashtra,Mumbai,Dorm,OTA,0.57,890.76,274.97,5
2025-03-26,2025-03-27,Himachal Pradesh,Shimla,Suite,OTA,0.49,1130.43,119.1,4
2025-01-29,2025-01-30,Maharashtra,Pune,Private,OTA,0.84,599.39,65.01,3
2025-03-01,2025-03-05,Kerala,Kochi,Dorm,Website,0.99,786.57,157.81,5
2024-12-13,2024-12-18,Maharashtra,Mumbai,Suite,OTA,0.49,999.51,54.69,4
2025-02-11,2025-02-14,Himachal Pradesh,Manali,Private,Walk-in,0.78,303.33,226.9,4
2025-03-21,2025-03-23,Maharashtra,Nashik,Dorm,OTA,0.6,1158.74,254.49,4
2025-02-19,2025-02-20,Himachal Pradesh,Shimla,Suite,Walk-in,0.63,381.6,183.66,3
2025-01-26,2025-01-30,Karnataka,Bangalore,Suite,Website,0.61,568.98,147.53,1
2024-10-17,2024-10-18,Goa,Panaji,Dorm,Website,0.57,947.77,198.24,4
2025-02-22,2025-02-23,Tamil Nadu,Chennai,Private,Website,0.71,603.95,230.25,4
2025-03-23,2025-03-24,Karnataka,Bangalore,Dorm,Walk-in,0.58,427.43,213.46,4
2025-01-31,2025-02-01,Rajasthan,Jaipur,Private,Website,0.74,710.57,92.67,5
2024-12-13,2024-12-15,Goa,Panaji,Private,OTA,0.69,1030.37,295.55,4
2025-04-14,2025-04-19,Goa,Panaji,Dorm,OTA,0.66,356.9,118.47,4
2025-02-21,2025-02-22,Rajasthan,Jaipur,Suite,Walk-in,,638.52,89.44,4
2024-11-05,2024-11-09,Himachal Pradesh,Shimla,Suite,Website,0.61,485.54,209.96,5
2025-04-16,2025-04-21,Karnataka,Mysore,Dorm,Walk-in,0.81,,125.3,4
2025-04-04,2025-04-07,Maharashtra,Nashik,Suite,Walk-in,0.78,497.35,242.58,2
2024-11-11,2024-11-13,Tamil Nadu,Ooty,Dorm,Walk-in,0.55,1130.41,63.51,3
2024-12-06,2024-12-07,Tamil Nadu,Chennai,Suite,Website,0.71,1132.38,93.97,1
2024-11-07,2024-11-09,Uttarakhand,Dehradun,Suite,Walk-in,0.81,1108.54,107.52,1
2025-04-06,2025-04-07,Kerala,Kochi,Private,Walk-in,0.45,735.97,272.62,2
2024-11-05,2024-11-08,Tamil Nadu,Chennai,Private,Website,0.78,602.3,58.02,5
2025-03-09,2025-03-11,Karnataka,Mysore,Private,Walk-in,0.6,441.11,248.64,5
2025-01-31,2025-02-02,Kerala,Munnar,Suite,OTA,0.79,1053.29,119.79,4
2024-11-15,2024-11-19,Karnataka,Bangalore,Dorm,Website,0.59,1192.15,233.37,5
2024-12-07,2024-12-11,Maharashtra,Pune,Dorm,Website,0.43,802.64,53.11,4
2024-12-09,2024-12-13,Maharashtra,Mumbai,Suite,OTA,0.46,445.62,164.82,5
2025-02-10,2025-02-13,Kerala,Kochi,Suite,OTA,0.71,933.51,50.34,1
2024-11-25,2024-11-26,Himachal Pradesh,Manali,Suite,OTA,0.74,962.18,63.7,3
2025-03-04,2025-03-06,Uttarakhand,Dehradun,Suite,Walk-in,0.56,934.39,190.19,2
2024-12-21,2024-12-24,Goa,Panaji,Private,OTA,0.8,753.21,155.73,1
2024-11-24,2024-11-29,Maharashtra,Pune,Suite,Walk-in,0.45,1109.51,162.99,3
2025-02-26,2025-03-02,Maharashtra,Mumbai,Dorm,Website,0.69,651.61,94.7,1
2025-02-16,2025-02-19,Goa,Panaji,Private,Walk-in,0.52,787.29,83.01,3
2025-03-30,2025-04-04,Rajasthan,Jaipur,Suite,OTA,0.6,670.52,135.7,3
2024-12-06,2024-12-11,Tamil Nadu,Ooty,Dorm,OTA,0.71,454.56,115.0,4
2025-01-22,2025-01-24,Himachal Pradesh,Shimla,Suite,Website,0.57,940.63,121.31,2
2025-01-18,2025-01-19,Goa,Panaji,Private,Walk-in,0.64,413.83,115.1,2
2024-12-03,2024-12-07,Karnataka,Mysore,Suite,Website,0.85,780.28,80.37,1
2025-04-09,2025-04-10,Uttarakhand,Rishikesh,Suite,Walk-in,0.61,1178.04,132.82,3
2025-04-10,2025-04-13,Karnataka,Mysore,Suite,Website,0.83,958.48,275.04,2
2025-03-29,2025-04-01,Goa,Vasco,Dorm,OTA,0.53,349.53,210.33,5
2024-10-25,2024-10-29,Maharashtra,Nashik,Suite,Walk-in,0.78,1161.86,293.96,4
2024-11-02,2024-11-04,Uttarakhand,Dehradun,Suite,OTA,0.92,632.67,143.21,3
2025-02-16,2025-02-20,Goa,Vasco,Private,OTA,0.33,447.41,232.0,4
2025-01-06,2025-01-09,Karnataka,Bangalore,Private,Walk-in,0.58,1187.97,66.53,5
2025-03-26,2025-03-31,Kerala,Kochi,Private,Walk-in,0.79,811.12,278.72,2
2024-12-08,2024-12-12,Himachal Pradesh,Shimla,Suite,Walk-in,0.67,717.11,56.71,1
2024-10-24,2024-10-27,Maharashtra,Nashik,Private,Website,0.76,,221.96,2
2024-10-16,2024-10-21,Uttarakhand,Dehradun,Private,OTA,0.61,865.2,169.01,1
2024-12-19,2024-12-22,Rajasthan,Jaipur,Private,Walk-in,0.71,421.95,90.83,3
2025-03-14,2025-03-19,Himachal Pradesh,Manali,Dorm,Walk-in,0.68,464.92,73.63,2
2024-11-10,2024-11-13,Himachal Pradesh,Shimla,Dorm,Walk-in,0.88,822.04,255.83,1
2025-02-16,2025-02-18,Karnataka,Bangalore,Dorm,Walk-in,0.74,499.0,97.1,5
2024-12-05,2024-12-09,Maharashtra,Pune,Dorm,Website,0.75,1036.96,280.85,4
2024-11-16,2024-11-19,Uttarakhand,Rishikesh,Dorm,Walk-in,0.64,1033.12,105.59,2
2025-03-08,2025-03-09,Kerala,Kochi,Dorm,OTA,0.63,981.6,60.63,1
2025-01-09,2025-01-10,Himachal Pradesh,Manali,Private,Walk-in,0.64,309.25,74.13,1
2025-01-31,2025-02-01,Uttarakhand,Rishikesh,Dorm,Walk-in,0.76,1147.66,287.2,3
2025-03-02,2025-03-07,Maharashtra,Mumbai,Dorm,,0.64,495.3,97.89,3
2025-01-07,2025-01-10,Goa,Vasco,Suite,Walk-in,0.74,466.61,218.38,1
2025-02-01,2025-02-02,Goa,Vasco,Private,Website,1.0,719.31,179.93,4
2024-10-17,2024-10-18,Uttarakhand,Dehradun,Private,OTA,0.83,711.25,234.04,4
2024-11-06,2024-11-09,Maharashtra,Pune,Dorm,Website,0.65,1198.85,172.91,1
2024-10-30,2024-11-04,Kerala,Munnar,Dorm,Walk-in,0.88,1132.76,294.46,1
2025-04-05,2025-04-07,Kerala,Kochi,Private,Walk-in,0.64,749.2,241.2,5
2025-02-27,2025-03-04,Uttarakhand,Dehradun,Private,OTA,0.39,760.27,86.84,4
2025-04-09,2025-04-10,Karnataka,Bangalore,Suite,Website,0.55,1047.28,174.53,1
2024-11-13,2024-11-18,Maharashtra,Mumbai,Private,OTA,0.42,481.74,215.52,4
2025-01-29,2025-02-02,Rajasthan,Jaipur,Dorm,OTA,0.65,705.1,263.22,4
